id_swiped,action

327588927,left
208053286,right
31437653,right
112817686,left
39517038,left
22437873,left
120301075,right
131970841,right
164204208,left
177313813,left
170502297,left
15571921,right
155759232,left
18369734,left
50960678,right
11628681,right
178665146,left
104196823,left
14607687,left
39272561,left
10726091,left
137306259,left
134431056,left
160462039,left
153576773,left
213069402,left
185505060,left
223096296,left
71008503,left
7665384,left
32669082,left
32122344,left
272686584,right
87069516,left
164244401,left
147814333,left
19024844,left
114696096,left
119259297,left
55627937,left
156887848,left
8970151,left
313640552,left
169524828,left
120062243,left
111541207,right
82981075,left
102785076,left
134266322,left
108073843,left
255977013,right
84667339,left
75014660,right
81235356,left
41036600,left
271320487,left
37300893,right
